id,title,url,section,lead,date,source,scrape_time,last_update,news_content
2593808,羽毛球世錦賽丨石宇奇與翁泓陽晉級男單16強,https://www.881903.com/news/sports/2593808,sports,"在法國巴黎舉行的世界羽毛球錦標賽，男單頭號種子、國家隊的石宇奇，晉級16強。他在次圈以21:15、21:11，淘汰比利時的卡拉基，將與法國的基斯圖波波夫爭入8強。
另一名國手翁泓陽，亦以兩局擊敗中華台北的李佳豪，16強對手是法國的蘭尼爾。",2025-08-28 01:57,cradio,2025-08-28 02:00,2025-08-28 01:57:00,"在法國巴黎舉行的世界羽毛球錦標賽，男單頭號種子、國家隊的石宇奇，晉級16強。他在次圈以21:15、21:11，淘汰比利時的卡拉基，將與法國的基斯圖波波夫爭入8強。

另一名國手翁泓陽，亦以兩局擊敗中華台北的李佳豪，16強對手是法國的蘭尼爾。"
2593807,屯門藍地謀殺案　1男1女被控協助罪犯罪,https://www.881903.com/news/local/2593807,local,"51歲男子星期一倒斃屯門藍地天橋底的謀殺案，被捕的13人中，其中1男1女被暫控一項協助罪犯罪，兩人同樣62歲，今早在粉嶺裁判法院提堂。其餘11名被捕男女，有5人仍被扣留調查，其餘6人將獲准保釋，下月中向警方報到。

遇害男子前日被發現倒斃在一輛七人車旁邊，警方調查發現，他駕車離開新生村住所後，曾被兩輛私家車攔截，逃跑時被約10名男子截停，再被人用刀從後襲擊頭部。懷疑案件涉及非法活動的金錢糾紛，死者...",2025-08-28 01:48,cradio,2025-08-28 02:00,2025-08-28 01:48:00,"51歲男子星期一倒斃屯門藍地天橋底的謀殺案，被捕的13人中，其中1男1女被暫控一項協助罪犯罪，兩人同樣62歲，今早在粉嶺裁判法院提堂。其餘11名被捕男女，有5人仍被扣留調查，其餘6人將獲准保釋，下月中向警方報到。

遇害男子前日被發現倒斃在一輛七人車旁邊，警方調查發現，他駕車離開新生村住所後，曾被兩輛私家車攔截，逃跑時被約10名男子截停，再被人用刀從後襲擊頭部。懷疑案件涉及非法活動的金錢糾紛，死者被人追討時遇害再被棄屍，警方其後拘捕10男3女，部分兇徒相信已潛逃海外。"
2593806,南韓法院駁回對前總理韓德洙的拘捕申請,https://www.881903.com/news/international/2593806,international,"南韓首爾中央地方法院，駁回特檢組對前總理韓德洙的拘捕申請。

調查前總統尹錫悅內亂案的特檢組，日前以涉嫌協助內亂頭目、作偽證及製作虛假公文等，向法院申請拘捕韓德洙。特檢組認為韓德洙作為時任總理，去年12月初未有阻止尹錫悅實施戒嚴，反而提供協助，事後又與尹錫悅合謀，重新編製戒嚴文件再銷毀。不過韓德洙堅持，對戒嚴文件毫不知情。",2025-08-28 01:23,cradio,2025-08-28 02:00,2025-08-28 01:23:00,"南韓首爾中央地方法院，駁回特檢組對前總理韓德洙的拘捕申請。

調查前總統尹錫悅內亂案的特檢組，日前以涉嫌協助內亂頭目、作偽證及製作虛假公文等，向法院申請拘捕韓德洙。特檢組認為韓德洙作為時任總理，去年12月初未有阻止尹錫悅實施戒嚴，反而提供協助，事後又與尹錫悅合謀，重新編製戒嚴文件再銷毀。不過韓德洙堅持，對戒嚴文件毫不知情。"
2593805,歐洲股市個別發展,https://www.881903.com/news/finance/2593805,finance,"歐洲股市個別發展。
英國富時一百指數收報9255點，跌10點。
法國CAC指數收報7743點，升34點。
德國DAX指數收報24046點，跌106點。",2025-08-28 00:13,cradio,2025-08-28 00:15,2025-08-28 00:13:00,"歐洲股市個別發展。

英國富時一百指數收報9255點，跌10點。

法國CAC指數收報7743點，升34點。

德國DAX指數收報24046點，跌106點。"
2593804,美國明尼蘇達州校園槍擊案3死20傷  槍手死亡,https://www.881903.com/news/international/2593804,international,"美國明尼蘇達州發生校園槍擊案，司法部官員指，包括槍手在內共3人死亡、另有20人受傷。事發在明尼阿波利斯南部一間天主教學校，今個星期剛展開新學期，警方指，槍手是一名穿著黑色衫褲的男子，持有一支步槍，家長在案發後都湧到學校接走子女。

州長沃爾茲形容案件可怕。總統特朗普在社交平台發文表示，已接獲官員簡報案件，聯邦調查局人員已到場調查，呼籲大家為受影響人士祈禱。",2025-08-27 23:52,cradio,2025-08-28 00:15,2025-08-27 23:52:00,"美國明尼蘇達州發生校園槍擊案，司法部官員指，包括槍手在內共3人死亡、另有20人受傷。事發在明尼阿波利斯南部一間天主教學校，今個星期剛展開新學期，警方指，槍手是一名穿著黑色衫褲的男子，持有一支步槍，家長在案發後都湧到學校接走子女。

州長沃爾茲形容案件可怕。總統特朗普在社交平台發文表示，已接獲官員簡報案件，聯邦調查局人員已到場調查，呼籲大家為受影響人士祈禱。"
2593803,美財長：華府暫不考慮入股輝達　認為毋須財務支持,https://www.881903.com/news/international/2593803,international,"美國財長貝森特說，聯邦政府暫時不會考慮入股人工智能晶片龍頭輝達。貝森特接受霍士商業頻道訪問，談及美國政府早前公布收購另一間晶片製造商英特爾的一成股份，被問到目前有否類似的交易醞釀中，或計劃入股更多半導體公司，貝森特指，現時認為輝達毋須財務支持，入股輝達不在華府考慮之列，但當局有意透過收購股份，重塑其他行業，包括造船業，實現關鍵行業自給自足。

美國政府今年6月亦曾介入，促成日本製鐵以每股55美元的...",2025-08-27 23:32,cradio,2025-08-27 23:45,2025-08-27 23:32:00,"美國財長貝森特說，聯邦政府暫時不會考慮入股人工智能晶片龍頭輝達。貝森特接受霍士商業頻道訪問，談及美國政府早前公布收購另一間晶片製造商英特爾的一成股份，被問到目前有否類似的交易醞釀中，或計劃入股更多半導體公司，貝森特指，現時認為輝達毋須財務支持，入股輝達不在華府考慮之列，但當局有意透過收購股份，重塑其他行業，包括造船業，實現關鍵行業自給自足。

美國政府今年6月亦曾介入，促成日本製鐵以每股55美元的價格，收購美國鋼鐵全部股權。按照協議，華府在交易中獲得「黃金股」，可以對企業重要的經營事項行使否決權。"
2593802,台灣宜蘭近海6級地震　台鐵部分列車減速行駛,https://www.881903.com/news/china/2593802,china,"台灣宜蘭近海晚上9時許發生6級地震，震源深度112公里，全台多地都有震感，其中宜蘭和台北錄得最大震度4級，新北亦錄得3級。台鐵部分列車因應地震要減速行駛，高鐵服務不受影響。台電電廠亦未受地震影響，供電維持正常。

氣象部門相信，今次地震是因板塊活動而起，與龜山島活火山無關，預計未來3日可能還有規模5至5.5的餘震。",2025-08-27 23:28,cradio,2025-08-27 23:45,2025-08-27 23:28:00,"台灣宜蘭近海晚上9時許發生6級地震，震源深度112公里，全台多地都有震感，其中宜蘭和台北錄得最大震度4級，新北亦錄得3級。台鐵部分列車因應地震要減速行駛，高鐵服務不受影響。台電電廠亦未受地震影響，供電維持正常。

氣象部門相信，今次地震是因板塊活動而起，與龜山島活火山無關，預計未來3日可能還有規模5至5.5的餘震。"
2593801,克宮：對在烏部署歐洲維和部隊持消極態度,https://www.881903.com/news/international/2593801,international,俄烏局勢仍未明朗，俄羅斯總統新聞秘書佩斯科夫說，俄方仍希望透過政治和外交手段，解決烏克蘭衝突，目前未有雙方談判團隊下次會晤的具體日期，但兩國團隊一直保持聯繫。佩斯科夫表示，安全保障問題是烏克蘭問題解決中最重要的議題，但公開就此對話無助整體解決效果，呼籲烏方為政治解決危機，作對等回應，俄烏高層或最高級別的接觸，必須做好充分準備，才取得成果，又指俄羅斯對在烏克蘭部署歐洲維和部隊持消極態度，指北約軍事基...,2025-08-27 23:28,cradio,2025-08-27 23:45,2025-08-27 23:28:00,"俄烏局勢仍未明朗，俄羅斯總統新聞秘書佩斯科夫說，俄方仍希望透過政治和外交手段，解決烏克蘭衝突，目前未有雙方談判團隊下次會晤的具體日期，但兩國團隊一直保持聯繫。佩斯科夫表示，安全保障問題是烏克蘭問題解決中最重要的議題，但公開就此對話無助整體解決效果，呼籲烏方為政治解決危機，作對等回應，俄烏高層或最高級別的接觸，必須做好充分準備，才取得成果，又指俄羅斯對在烏克蘭部署歐洲維和部隊持消極態度，指北約軍事基建的擴張，是烏克蘭危機的根源之一。

佩斯科夫又指，俄方高度讚賞美國總統特朗普，為解決烏克蘭問題所作的和平努力，形容是至關重要，希望可以繼續下去，又指俄美正透過各種渠道保持溝通，認為兩國就烏克蘭問題開展的工作，應以非公開形式進行。"
2593800,港鐵就東涌東站分判商涉用未經授權物料和偽造文件報警,https://www.881903.com/news/local/2593800,local,"港鐵就東涌東站工程分判商，涉嫌採用未經授權物料和偽造文件報警處理，強調事件不會影響東涌東站建造工程的整體進度，亦不會為港鐵帶來額外開支。

港鐵指，6月初收到捷威建材的電郵，就合約其中一名分判商提供的磚材是否來自獲授權生產商，提出質疑後，隨即指示總承建商徹底核查。有關物料是用於砌造車站設備房間的非結構性間隔牆，由總承建商透過招標聘用的分判商負責採購，並在6月展開工程。港鐵連番查問下，總承建商表示，...",2025-08-27 23:04,cradio,2025-08-27 23:15,2025-08-27 23:04:00,"港鐵就東涌東站工程分判商，涉嫌採用未經授權物料和偽造文件報警處理，強調事件不會影響東涌東站建造工程的整體進度，亦不會為港鐵帶來額外開支。

港鐵指，6月初收到捷威建材的電郵，就合約其中一名分判商提供的磚材是否來自獲授權生產商，提出質疑後，隨即指示總承建商徹底核查。有關物料是用於砌造車站設備房間的非結構性間隔牆，由總承建商透過招標聘用的分判商負責採購，並在6月展開工程。港鐵連番查問下，總承建商表示，相關磚材批次，不會在今次工程中使用，而港鐵亦多次透過總承建商，要求負責的分判商，提供磚材是採購自獲授權生產商的證明，但分判商提交的文件，至今未能讓總承建商或港鐵滿意產品的真實性。

港鐵強調，正嚴正跟進，並指示總承建商提交全面報告，會獨立檢查和核實，並根據與總承建商的合約條款，嚴肅跟進，同時配合警方調查。公司會繼續責成和督導總承建商按合約，按時、按質、按量完成工程，並研究進一步的加強監察措施。"
2593799,樊振東解釋加盟德甲原委  對重返國乒作正面回應,https://www.881903.com/news/sports/2593799,sports,"巴黎奧運乒乓男單金牌選手樊振東，加盟德國薩爾布呂肯俱樂部，出戰德甲乒乓聯賽，樊振東在球會舉辦的記者會透露，選擇薩爾布呂肯是由於在2016曾到當地參加世界盃比賽，留下難忘回憶，非常期待重臨。指薩爾布呂肯是非常著名和頂級的俱樂部，希望盡自己的能力幫助隊伍取得好成績。他會通過比賽，去體會國內聯賽和德甲的不同，也會專注於訓練和比賽，和球會去實現更多的目標。
被問到會否重返國乒，樊振東作出正面回應，指加盟德...",2025-08-27 23:02,cradio,2025-08-27 23:15,2025-08-27 23:02:00,"巴黎奧運乒乓男單金牌選手樊振東，加盟德國薩爾布呂肯俱樂部，出戰德甲乒乓聯賽，樊振東在球會舉辦的記者會透露，選擇薩爾布呂肯是由於在2016曾到當地參加世界盃比賽，留下難忘回憶，非常期待重臨。指薩爾布呂肯是非常著名和頂級的俱樂部，希望盡自己的能力幫助隊伍取得好成績。他會通過比賽，去體會國內聯賽和德甲的不同，也會專注於訓練和比賽，和球會去實現更多的目標。

被問到會否重返國乒，樊振東作出正面回應，指加盟德甲是得到乒協領導及教練團隊的支持，他非常感激。相信會有很多人關注他在德甲的表現，也會根據他的情況和表現，具體溝通接下來的安排。對他而言，最重要的還是做好當下。

樊振東德甲首場比賽是在星期日主場迎戰貝格諾伊施塔特。德國當地多家媒體報道，樊振東加盟薩爾布呂肯引發轟動效應，球會前兩場聯賽主場門票迅速售罄，決定在新賽季聯賽前3個主場，增設臨時看台。"
