id,title,url,section,news_type,lead,date,source,scrape_time
60212753,護肝｜肝火旺盛導致易怒、口乾舌燥？春季養生護肝要掌握4關鍵,https://www.hk01.com/健康Easy/60212753/護肝-肝火旺盛導致易怒-口乾舌燥-春季養生護肝要掌握4關鍵,好生活,article,春季是肝木旺盛的季節，肝臟機能處於旺盛時期，身體內的肝氣容易過於旺盛，導致情緒不穩、易怒、眼睛乾澀、口乾舌燥等症狀。此時養生宜順應自然，好,2025-02-23 18:02:17,hk01,2025-02-23 18:21
60211960,港鐵兒童將餅乾灑滿地　媽媽只罵不清理　網民怒斥：下車不顧而去,https://www.hk01.com/熱爆話題/60211960/港鐵兒童將餅乾灑滿地-媽媽只罵不清理-網民怒斥-下車不顧而去,熱爆話題,article,自己的垃圾應該自行清理！有港鐵乘客近日發文公審，有媽媽眼見坐着嬰兒車的子女不慎將一大包餅乾弄灑一地，卻只顧責罵子女，未有清理車廂，隨後更推,2025-02-23 18:02:01,hk01,2025-02-23 18:21
60213296,雲浩影認與T-Ma譜「馬雲戀」　情人節互相寫卡讚男友溫柔煮飯叻,https://www.hk01.com/即時娛樂/60213296/雲浩影認與t-ma譜-馬雲戀-情人節互相寫卡讚男友溫柔煮飯叻,即時娛樂,article,雲浩影（Cloud）昨日（22日）在商場舉行新歌《你在我不遠處》MV首播儀式，期間她唱出了《雲的自述》及《你在我不遠處》，而講到今次MV是半紀錄片形,2025-02-23 18:00:43,hk01,2025-02-23 18:21
60213325,韓國調查：國內半導體技術幾乎全部落後於中國,https://www.hk01.com/即時國際/60213325/韓國調查-國內半導體技術幾乎全部落後於中國,即時國際,article,韓國科技評估與規劃研究院（KISTEP）2月23日發布的調查報告稱，韓國絕大多數的半導體技術已經被中國趕超。韓聯社援引研究院針對39名國內專家實施問,2025-02-23 18:00:27,hk01,2025-02-23 18:21
60213328,有片｜輕軌列車上重慶必｢吃｣榜單　有深圳客赴渝打卡,https://www.hk01.com/大國小事/60213328/有片-輕軌列車上重慶必-吃-榜單-有深圳客赴渝打卡,大國小事,article,內媒報道，重慶江北區北濱路輕軌成為新晉網紅打卡點，遊客利用錯位拍攝的方法，打卡「吃」輕軌。有網民拍攝的影片顯示，遊客站在江邊，遠處正好是一,2025-02-23 18:00:19,hk01,2025-02-23 18:21
60213334,香港新聞工作者聯會辦穗港澳新聞杯足球賽　邀貴州村超足球隊參與,https://www.hk01.com/社會新聞/60213334/香港新聞工作者聯會辦穗港澳新聞杯足球賽-邀貴州村超足球隊參與,社會新聞,article,香港新聞工作者聯會今年以東道主身份，主辦第18屆穗港澳新聞杯足球賽。新聞杯自2004年首辦，今年更請來甚具人氣的貴州村超足球隊參與其中。政務司,2025-02-23 17:45:18,hk01,2025-02-23 18:21
60213351,人大常委李慧琼擬就《民營經濟促進法》提建議　港企望投資有保障,https://www.hk01.com/政情/60213351/人大常委李慧琼擬就-民營經濟促進法-提建議-港企望投資有保障,政情,article,全國人大常委會第十四次會議明日（24日）起一連兩日在北京舉行，將審議《民營經濟促進法》。全國人大常委李慧琼表示，會提出港人關注問題，因香港,2025-02-23 17:43:03,hk01,2025-02-23 18:21
60213329,三項鐵人︱亞洲盃港隊傳捷報　奧斯卡奪男子精英組冠軍伍泰龍第七,https://www.hk01.com/即時體育/60213329/三項鐵人-亞洲盃港隊傳捷報-奧斯卡奪男子精英組冠軍伍泰龍第七,即時體育,article,香港隊赴馬來西亞出戰三項鐵人（三鐵）亞洲盃分站賽事，派出11女、6男共17位選手參賽，曾出戰東京奧運的奧斯卡（Oscar Coggins）在男子精英組賽事,2025-02-23 17:31:52,hk01,2025-02-23 18:21
60213322,東莞一學校附近行人路突現「石墩陣」　街坊：或為了整頓小販,https://www.hk01.com/大國小事/60213322/東莞一學校附近行人路突現-石墩陣-街坊-或為了整頓小販,大國小事,article,近日，東莞市一高職院校附近的行人路擺滿石墩，目測有數十個，對視障人士、輪椅和嬰兒車的通行造成一定影響。2月22日，該校的工作人員表示，他不清,2025-02-23 17:30:35,hk01,2025-02-23 18:21
60213330,俄副外長：俄美第二階段談判將在部門首腦級別進行,https://www.hk01.com/即時國際/60213330/俄副外長-俄美第二階段談判將在部門首腦級別進行,即時國際,article,俄羅斯副外長里亞布科夫（Sergei Ryabkov）2月23日向俄媒《消息報》（Izvestia）透露稱，俄美第二階段談判將在部門首腦級別進行。里亞布科夫明確表,2025-02-23 17:30:27,hk01,2025-02-23 18:21
