,title,date,link,description,source,section,scrape_time
0,一名女子在粉嶺單位內被人拳打昏迷　當場證實死亡,2024-06-22 18:36,https://news.rthk.hk/rthk/ch/component/k2/1758603-20240622.htm,"粉嶺一名男子拳打女友，女子頭部受傷，當場死亡。

警方下午5時許接報，指一名男子在華心邨華勉樓一個低層單位內，拳打50幾歲女友，她頭部受傷昏迷，現場證實死亡。",rthk,local,2024-06-22 20:07
1,工作暑熱警告取消,2024-06-22 18:30,https://news.rthk.hk/rthk/ch/component/k2/1758602-20240622.htm,工作暑熱警告在傍晚6時半取消。,rthk,local,2024-06-22 20:07
2,廉署一連兩周六舉行招聘體驗　指近年流失率維持2%以下,2024-06-22 18:24,https://news.rthk.hk/rthk/ch/component/k2/1758600-20240622.htm,"廉政公署一連兩個星期六舉行招聘體驗日，讓有興趣投身反貪工作的人士體驗廉署的工作。有參加者說，初步了解到入職廉署的條件。

廉署表示，近年流失率維持在2%以下，預計新一輪招聘會請到合適人選，填補空缺。",rthk,local,2024-06-22 20:07
3,蕭澤頤稱社會表面平靜但多暗流　七一有足夠警力讓慶典有序進行,2024-06-22 18:23,https://news.rthk.hk/rthk/ch/component/k2/1758599-20240622.htm,"警務處處長蕭澤頤表示，目前香港社會表面上平靜，但仍有很多暗流湧動，如果任何人企圖作出煽動行為，警方會果斷執法。

蕭澤頤又說，會確保七一有足夠警力，讓所有慶典活動能夠安全有序進行。",rthk,local,2024-06-22 20:07
4,林世雄促的士業界「爭氣」　冀車隊制度帶來新面貌,2024-06-22 18:21,https://news.rthk.hk/rthk/ch/component/k2/1758595-20240622.htm,"政府推出的士車隊制度，共收到15份申請，最終會發出不多過5個牌照。運輸及物流局局長林世雄接受本台節目《星期六問責》訪問時表示，非常關注的士服務，希望業界「爭氣」，做得更好，他指出部分的士司機服務的確令人失望，希望的士車隊能帶來新面貌。

林世雄又表示，當局正檢視法例，並就如何有效打擊非法網約車，及規管相關平台的研究已進入尾聲，希望可在下月與立法會議員及業界商討，勾劃未來方向。",rthk,local,2024-06-22 20:07
5,盧寵茂稱不會將照顧香港市民健康責任轉移內地醫療系統,2024-06-22 18:06,https://news.rthk.hk/rthk/ch/component/k2/1758596-20240622.htm,"醫務衞生局局長盧寵茂率領當局、衞生署和醫管局代表，聯同立法會衞生事務委員會的議員，組成訪問團到粵港澳大灣區兩間內地三級甲等醫院，包括中山陳星海中西醫結合醫院和香港大學深圳醫院進行職務訪問，加深了解內地三甲醫院的最新服務、設施及醫療水平，並就如何進一步推動跨境醫療協作交流。

在港大深圳醫院訪問期間，醫衞局人員介紹將於下月15日起，在該院試行醫健通流動應用程式的「跨境健康紀錄」及「個人資料夾」新功能，以配合跨境醫療協作。「跨境健康紀錄」功能只適用於醫衞局指明及認證的境外醫院，以保障市民的醫療數據安全。

醫衞局將於港大深圳醫院先行先試，該院的醫護人員在獲合資格使用長者醫療券的香港長者展示相關二維碼後，便可在長者就診時瀏覽其醫健通戶口內過去三年的電子健康紀錄副本。「個人資料夾」功能則讓醫健通用戶把在境外醫療機構求醫時取得的醫療紀錄存放在醫健通個人健康戶口，以便利保存和運用來自境內外的個人病歷紀錄。

盧寵茂強調，特區政府會一如既往地擔當保障香港市民健康的重要角色，持續提供優質醫療服務，絕對不會將照顧香港市民健康的責任轉移至內地醫療系統，又指特區政府在制訂跨境醫療措施時，除了支援選擇在內地發展和生活的香港居民的醫療需要，也會考慮相關措施對內地社會資源和人民生活所構成的影響。訪問團於傍晚回港。",rthk,local,2024-06-22 20:07
6,警方港島區打擊酒駕藥駕查165輛車　拘捕7人,2024-06-22 17:20,https://news.rthk.hk/rthk/ch/component/k2/1758593-20240622.htm,"警方昨日晚上及今日凌晨，在港島區打擊酒駕、藥駕及與車輛使用有關的罪案，在多區設置路障，截查可疑車輛，並巡查區內罪惡黑點。行動中共截查165輛車，拘捕7人，當中1人是「被通緝人士」。

被捕的7人，包括1名外籍男子、5名本地男子及1名本地女子，年齡介乎24至52歲，分別涉嫌「酒後駕駛」、「停牌期間駕駛」及「沒有第三者保險而使用車輛」被捕。

警方亦發現有1輛私家車懷疑曾非法改裝，涉嫌違反道路交通規例，該輛私家車現被拖至汽車扣留中心待進一步檢驗。另外，警方亦向另一輛私家車發出「欠妥車輛報告」。",rthk,local,2024-06-22 20:07
7,張國鈞稱守法是法治前提　須向年輕人從小灌輸正確法治概念,2024-06-22 16:11,https://news.rthk.hk/rthk/ch/component/k2/1758589-20240622.htm,"律政司副司長張國鈞表示，國家《憲法》是一國兩制下法律的基礎，也是《基本法》的法律依據和效力來源；法治則是香港賴以成功的基石，如果人人能夠守護法治，就能建立公平公正的生活環境，維持社會的穩定，市民才能安居樂業。

張國鈞在一項《基本法》活動致辭時表示，守法是法治的前提，否則法治將無從談起，因此最理想的法治教育是向年輕人從小灌輸正確的法治概念，加強他們對法治正確的理解和認識，讓他們自覺維護香港的法律制度。

張國鈞又指，律政司期待繼續與社會各界合作做好法治工作，加強對法治的理解和認識，啟發青少年自覺尊重法制，明法守法。",rthk,local,2024-06-22 20:07
8,記協周年會員大會選出新一屆執委　《華爾街日報》記者當選主席,2024-06-22 15:31,https://news.rthk.hk/rthk/ch/component/k2/1758588-20240622.htm,"香港記者協會舉行周年會員大會，並選出新一屆執委，現任主席陳朗昇本月底任期屆滿，由新當選的鄭嘉如出任主席，她是《華爾街日報》記者，亦是現任記協執委。

陳朗昇說，對下屆執委會有信心，面對壓力及困難時能沉穩面對，又強調記協一直願意同各界溝通，與警方也有溝通渠道，今日開大會前警方亦曾經詢問是否需要提供協助。

另外，陳朗昇說，記協是職工會登記局之下的註冊工會，現時有大約300名會員，記協會繼續做好捍衛新聞及言論自由的角色。",rthk,local,2024-06-22 20:07
9,粉嶺31歲男子涉販毒被捕　警方檢約1200萬元氯胺酮,2024-06-22 15:18,https://news.rthk.hk/rthk/ch/component/k2/1758586-20240622.htm,"警方在粉嶺拘捕一名31歲男子，他涉嫌販毒，警方在他身上及單位內檢獲約27公斤的懷疑氯胺酮，市值約1200萬元。涉案男子將於星期一在粉嶺裁判法院提堂。

警方昨日在聯和墟一幢唐樓的梯間，截停涉案男子，在他身上檢獲約90克懷疑氯胺酮，之後在他的單位內搜出約27公斤的懷疑氯胺酮，並發現氯胺酮藏在健康食品、乳清蛋白中，相信不法份子希望魚目混珠。

警方相信，涉案男子在販毒集團中，負責倉管、派貨，他被控「販運危險藥物」罪。",rthk,local,2024-06-22 20:07
10,2019年理大衝突案8人暴動罪成　官指暴動規模龐大,2024-06-22 13:54,https://news.rthk.hk/rthk/ch/component/k2/1758584-20240622.htm,"2019年理工大學外圍發生示威衝突，逾200人被控暴動罪，今日再有8人被判罪成，分別判監37個月至50個月。

8名被告中，5人承認控罪、3人經審訊後被裁定罪成。法官判刑時表示，暴動是嚴重罪行，案發時示威者與警方的人數懸殊，警方處於弱勢一方及近乎面臨彈藥耗盡的情況，又指示威者投擲至少250枚汽油彈，暴動規模龐大，有1500至2000人參與。法官表示，破壞對公共開支造成負擔，為鄰近居民帶來不便，有小巴專線因暴動錄得零收入，為1997年以來首次。

不過，法官提到案件因受疫情影響而需重新排期，雖然並非不合理延誤，但候審期間，各被告家庭、健康及工作狀況均有改變，所以酌情減刑。

東九龍總區公眾活動調查組高級督察潘崇禮在法庭裁決後見傳媒，指案件共拘捕213人，有200人已被裁定罪成，有160多人被判監禁，仍有22人等候判刑。",rthk,local,2024-06-22 20:07
11,青馬大橋往機場方向發生交通意外　交通非常擠塞,2024-06-22 13:10,https://news.rthk.hk/rthk/ch/component/k2/1758581-20240622.htm,"青嶼幹線中午發生一宗10車相撞交通意外，有人受輕傷，現場交通擠塞。

警方表示，現場是青馬大橋往大嶼山方向，涉及包括私家車、輕型貨車及的士。運輸署表示，意外後部分行車線封閉，現場交通非常擠塞。車龍龍尾已到南灣隧道，南灣隧道往機場方向的管道快線亦已封閉。青嶼幹線下層往機場方向已經開放。

警方到場後，將涉事車輛移至左線。",rthk,local,2024-06-22 20:07
12,上任兩周年｜李家超：經濟民生重點工作是投資和消費,2024-06-22 12:30,https://news.rthk.hk/rthk/ch/component/k2/1758579-20240622.htm,"行政長官李家超表示，未來會聚焦發展經濟、改善民生，重點工作是投資和消費，因出口受複雜地緣政治挑戰。

對於垃圾徵費政策暫緩，任內會否重推。李家超指出，政策要因時制宜、因地制宜，要視乎市民參與度再決定。

李家超強調，司局長都符合自己要求，當然會繼續本屆政府任內工作。

至於會否爭取連任，他表示，會聚焦特首這項使命要求的工作，別無他想。",rthk,local,2024-06-22 20:07
13,上任兩周年｜李家超：社會或已存在間諜活動,2024-06-22 12:28,https://news.rthk.hk/rthk/ch/component/k2/1758578-20240622.htm,"行政長官李家超說，《基本法》23條完成本地立法，加上《香港國安法》，能做到優勢互補，確保國家安全受到保障，但不表示其他人不會做危害國家安全的事。

他提到，間諜活動以較為迷惑性、隱藏性方式進行，可能在社會已經存在，而法庭正在審理的重要案件，外國仍會嘗試干預。

李家超又表示，《基本法》容許海外非常任法官制度，會讓這個制度繼續「行落去」。",rthk,local,2024-06-22 20:07
14,林世雄稱非法網約車問題研究近尾聲　料下月與議員及業界分享,2024-06-22 12:26,https://news.rthk.hk/rthk/ch/component/k2/1758577-20240622.htm,"運輸署計劃發出五個或以下的士車隊牌照，運輸及物流局局長林世雄表示，有信心的士車隊可帶來優質服務，提升的士服務質素。

對於規管非法網約車問題，他說相關研究接近尾聲，預計下月將研究結果與議員、業界及持分者分享。

對於港珠澳大橋出現擠塞情況，林世雄說，局方與珠海口岸曾作討論，珠海方面都有優化措施提升處理通關能力。",rthk,local,2024-06-22 20:07
15,廉署招聘體驗日　近九成出席者報名即場接受入職體能測試,2024-06-22 12:25,https://news.rthk.hk/rthk/ch/component/k2/1758576-20240622.htm,"廉署今日和下周六，舉辦招聘體驗日，現場設有入職體能測試，模擬拘捕及搜查行動，模擬接見嫌疑人，又會試用調查情境的VR訓練系統，面對不同情境作出反應，體驗調查員時刻保持警覺的重要性。

廉署香港國際廉政學院副總監杜安琪表示，新一輪招聘目標，是希望請到約30名調查主任及助理調查主任。她說，廉署執行處近年流失率維持在2%以下，招聘到的人手可以填補相關空缺。她又提到，去年起容許大學三年級及四年級的學生投考，結果大約收到300份申請，佔整體申請人數5%至6%。最後獲聘的調查主任當中，亦有今年畢業的大學生。

杜安琪說，今次體驗日是配合新一輪招聘計劃同步推出，如在體驗日通過體能測試的人士，已等同合乎今年招聘的體能要求。至於體驗日中，有接近九成出席者，報名即場接受入職的體能測試，反映參加者有志投考廉署的工作。

去年廉署收到超過5千份入職申請，相比2022年上升三成。上一輪的招聘程序已近完結，獲聘者亦陸續入職，預計執行處助理調查主任至首席調查主任的5個職級空缺率，未來數個月會持續下降。",rthk,local,2024-06-22 20:07
16,程鼎一稱邀媒體及網紅赴港遊可更好宣傳　料長途客本年內恢復較好,2024-06-22 12:22,https://news.rthk.hk/rthk/ch/component/k2/1758575-20240622.htm,"旅發局總幹事程鼎一說，全球旅客的旅遊模式改變，以「打卡」及深度遊等為主。他表示，透過邀請其他地區的媒體、網紅等到港旅遊，可以更好宣傳香港。

他又預計到今年年底，長途客、尤其歐美地區的旅客人數會在本年內恢復得較好。",rthk,local,2024-06-22 20:07
17,黃色工作暑熱警告在上午11時半生效,2024-06-22 11:30,https://news.rthk.hk/rthk/ch/component/k2/1758573-20240622.htm,"勞工處表示，黃色工作暑熱警告在上午11時30分生效，表示部分工作環境的熱壓力頗高。

僱主應參照勞工處的預防工作時中暑指引，在合理地切實可行的情況下，採取所需的防暑措施。",rthk,local,2024-06-22 20:07
18,蕭澤頤稱任何人企圖煽動破壞國安警方果斷執法　七一將作適當調配,2024-06-22 11:22,https://news.rthk.hk/rthk/ch/component/k2/1758571-20240622.htm,"警務處處長蕭澤頤表示，社會表面上平靜，但仍有很多「暗流」湧動，很多別有用心的人士嘗試做煽動行為，煽動他人做違法行為，而外部勢力、或一些逃離香港的反中亂港份子，用盡不同方法抹黑國安法、抹黑或煽動他人仇恨中央和特區政府，呼籲市民要小心。

蕭澤頤說，如果任何人企圖作出煽動行為，企圖做破壞社會安寧的違法行為，警方會果斷執法，亦會加強在線上及線下收集情報。他又說，大家都希望能夠安居樂業，「有國安、才有港安」和「有國安、才有家安」。

被問到七一回歸警方有甚麼部署，蕭澤頤說，警方會根據維護國家安全的風險作出適當調配，確保有足夠警力，令七一所有慶典活動能夠安全有序進行，警方已展開情報工作，如發現有人想破壞社會安寧，一定會執法。

另外，被問到有傳今日記者協會舉行會員大會，執法部門會作出監視，蕭澤頤說，網絡上有很多不實訊息，2019年黑暴期間，同樣有很多假新聞、假消息，記協會員無可能不清楚。他說，作為專業新聞工作者會報道事實，任何未澄清的訊息就流傳，屬誤導公眾，強調應該「不信謠、不造謠、不傳謠」，呼籲公眾不要相信謠傳。",rthk,local,2024-06-22 20:07
19,今年首5個月住宅爆竊同比上升　蕭澤頤料因通關後多人外遊,2024-06-22 11:10,https://news.rthk.hk/rthk/ch/component/k2/1758570-20240622.htm,"警務處處長蕭澤頤表示，本港今年首5個月的總體罪案有36940宗，按年升3%，主要升幅來自爆竊、盜竊及裸聊勒索案，當中爆竊案有604宗，較去年同期上升超過30%，升幅主要是住宅的爆竊案。

蕭澤頤說，相信爆竊案上升，是因為本港自從去年全面通關後，很多市民外出旅遊，呼籲市民外出時要關好門窗，又說警方加強警力，特別在較多村屋地方巡邏。",rthk,local,2024-06-22 20:07
