id,title,date,last_update,url,lead,section,source,scrape_time,news_content
bkn-20260405060122739-0405_00822_001,海關首次截獲活體帝王蠍　屬瀕危外來物種,2026-04-05 06:01,2026-04-05 06:01,https://hk.on.cc/cnt/news/20260405/bkn-20260405060122739-0405_00822_001.html,海關首次截獲活體帝王蠍　屬瀕危外來物種,廣東,oncc,2026-04-05 06:15,"海關總署上周六（4日）發布消息，廣東廣州市黃埔海關所屬黃埔老港海關關員近日現場查驗一批申報為「西非蘇木」的貨物時，在裝載木材貨櫃內，截獲一隻活體大型蠍子，經測量，長度為18厘米。

經黃埔海關技術中心鑑定，該蠍子為帝王蠍，屬於外來物種，被列入《瀕危物種國際貿易公約》（CITES）附錄Ⅱ。這也是黃埔海關首次截獲該物種。根據規定，任何單位和個人未經批准，不得擅自引進、釋放或者丟棄外來物種。"
bkn-20260405040544770-0405_00822_001,太空算力專業委員會成立　推動產業合作發展,2026-04-05 04:05,2026-04-05 04:05,https://hk.on.cc/cnt/news/20260405/bkn-20260405040544770-0405_00822_001.html,太空算力專業委員會成立　推動產業合作發展,北京,oncc,2026-04-05 04:15,"北京經濟技術開發區上周五（3日）舉辦2026太空算力產業大會，中國業界首個太空算力產業協同平台「太空算力專業委員會」正式成立，標誌中國相關產業邁入協同化發展新階段。

「中國信息通信研究院雲計算與大數據研究所」副所長李潔介紹，太空算力是地面產業在太空的延伸和集成，是構建全球泛在算力網絡的前沿布局，將有力支撐人工智能（AI）等應用高質量發展。而專委會成立將提升算力與航天產業鏈協同程度，打造全要素融合的產業生態圈。

專委會將聚焦星載AI晶片、星間激光通訊、高效熱控與太空光伏等環節，系統開展前瞻性技術聯合攻關研究，加快標準體系預研與構建。面向衞星智能體、災害應急響應、低軌衞星互聯網、深空探測等應用場景，開展創新方案征集與試點驗證等。專委會將發揮平台樞紐作用，整合產學研用金資源，通過搭建交流機制、組織技術攻關、推動場景創新，推動有關領域發展。"
bkn-20260405033049302-0405_00822_001,《東方日報》今日要聞,2026-04-05 03:30,2026-04-05 03:30,https://hk.on.cc/cnt/news/20260405/bkn-20260405033049302-0405_00822_001.html,《東方日報》今日要聞,香港,oncc,2026-04-05 03:45,一貼睇晒《東方日報》A1新聞頭條及C1娛樂最爆，以及東網嚴選的本港、兩岸及國際重點新聞，名家評論，讓你在最短時間掌握最重要資訊。
bkn-20260405033036473-0405_00822_001,東方日報A1：假日大橋常滿　倡全員車上檢免倒灌,2026-04-05 03:30,2026-04-05 03:30,https://hk.on.cc/cnt/news/20260405/bkn-20260405033036473-0405_00822_001.html,東方日報A1：假日大橋常滿　倡全員車上檢免倒灌,香港,oncc,2026-04-05 03:45,"每逢假日港珠澳大橋都會出現嚴重塞車，今年本港復活節及清明節公眾假期更撞正內地清明節假期。運輸署回覆本報查詢指，近日「港車北上」及「粵車南下」入境市區部分的預約出行名額已滿。有議員預計大橋的塞車情況相當嚴重，呼籲市民盡量在低峰時間出行。有汽車界人士指，近期油價持續高企，料吸引更多港人放棄搭飛機外遊，選擇北上遊玩兼入油；又指在大橋珠海口岸，除了司機其餘乘客均需落車到旅檢大樓排隊等過關，導致「車有車塞、人有人塞」，車流倒灌，呼籲兩地政府採人性化措施，容許全車人「車上檢」。

本月3日至7日為本港復活節及清明節公眾假期，而本月4日至6日則是內地清明節公眾假期。根據政府「港車北上」預約網站，早於上周四（2日），本月4日、5日及6日的預約出行名額已滿，雖然當時4日及6日的圖標仍顯示為「可預約」，但點開後4個可供預約的出行時間均顯示為「已滿」，相信是預約系統仍未刷新圖標所致。參考廣東省交通運輸廳數據，今年2月21日，即兩地農曆新年長假前後，「港車北上」通行車輛突破1.53萬車次，刷新大橋單日車流最高紀錄。

至於「粵車南下」入境市區部分，運輸署回覆本報查詢時指，今明兩日的預約出行來港亦同樣已錄得滿額，即每日100個名額均被預約。根據珠海邊檢總站港珠澳大橋邊檢站統計，自「粵車南下」入境市區部分去年12月23日實施以來，截至上月31日，經邊檢部門備案的車輛數量已超5,500輛，逾7,500輛次廣東私家車經口岸往返粵港。廣東省交通運輸廳亦預計，今年清明節假期，港珠澳大橋日均車流量約2.7萬車次，按年增長13.71%。

過去每逢公眾假期，港珠澳大橋都會出現嚴重塞車，是次兩地公眾假期出現重疊，或加劇大橋塞車情況。議員陳恒鑌預計，港珠澳大橋在兩地長假期間的塞車情況將相當嚴重，尤其近日是出行高峰期，建議市民出行前上網查看大橋口岸的實時情況，選擇在晚間等車流量不高的時間出行。

陳恒鑌又指，在接待旅客方面，大橋亦有空間提升，例如旅客走向方面，尤其是「人等車、車等人」的問題。現時大橋珠海口岸旅客的過關速度很慢，是旅檢大樓的檢查櫃位太少所致，「希望可以增加檢查櫃位」。他又建議，珠海口岸加裝車牌顯示器，以顯示車輛的位置，避免司機和乘客分開過關完後「人搵車，車搵人」。他希望，政府可與港珠澳大橋口岸再作溝通，長遠有需要探討「車上檢」的可行性。

中國香港汽車會永遠榮譽會長李耀培表示，港人經常趁長假與親友驅車北上，車上乘客較平日多；到達大橋珠海口岸後，除了司機可以「車上檢」，其餘乘客均須落車到旅檢大樓過關，惟大樓內亦有其他旅客等候過關，導致「車有車塞、人有人塞」；即使司機及車輛完成通關，亦要等候乘客過關，容易引致車流倒灌。

李耀培期望兩地政府多加溝通，每逢大時大節除了開通更多過關通道，亦要採取人性化措施，例如透過人面識別等技術，讓乘客可以「車上檢」，避免塞車。他提到，近期油價持續高企，亦促使更多港人驅車北上，「玩完加埋油先返嚟」，料今次長假大橋會「再塞啲」。

運輸署指，粵港澳三地政府一直密切監察港珠澳大橋的人流及車流，並與內地相關部門商討提升口岸通關的安排。各相關當局一直密切留意大橋的運作情況，持續研究及推行改善方案，確保大橋車流暢順。海關表示，一向於大型節慶假日期間因應實際情況，靈活調派足夠人手於各出入境管制站，包括旅客出入境大堂及車輛清關通道執行清關任務。

更多新聞，請瀏覽東方日報網頁：

http://orientaldaily.on.cc/"
bkn-20260405025821048-0405_00822_001,觀塘泊站頭小巴起火　消防撲滅查原因,2026-04-05 02:58,2026-04-05 03:50,https://hk.on.cc/cnt/news/20260405/bkn-20260405025821048-0405_00822_001.html,觀塘泊站頭小巴起火　消防撲滅查原因,香港,oncc,2026-04-05 04:00,"觀塘發生火警。今日(5日)凌晨2時19分，執法部門接獲報案，指一輛停泊在宜安街1至7號對開站頭的9號線紅頂小巴起火。消防到場拖喉撲救，其後將火救熄；小巴車頭及司機做位門熏黑。

消防發現火頭在車廂近車頭位置，正調查火警起因。事件中，毋須疏散，無人受傷。據了解，警員聯絡到涉事小巴司機，他指昨日(4日)晚上10時許將車泊於上址後收工離開。"
bkn-20260405020437689-0405_00822_001,內地警破倒賣文物案　追邀350件抓獲6人,2026-04-05 02:04,2026-04-05 02:04,https://hk.on.cc/cnt/news/20260405/bkn-20260405020437689-0405_00822_001.html,內地警破倒賣文物案　追邀350件抓獲6人,山西,oncc,2026-04-05 02:15,"內媒上周五（3日）從山西省臨汾市公安局獲悉，臨汾警方近日破獲一宗倒賣文物案，追繳包含青銅器、陶器、石刻等多個品類的涉案文物350多件，抓獲疑犯6人。

今年以來，臨汾市公安局民警在日常工作排查中，獲取到一條非法倒賣文物線索，顯示有不法分子暗中聯絡、私下交易各類文物，涉案文物數量較多。臨汾市公安局成立了專案組，通過大數據分析、走訪摸排鎖定以張某某為首的倒賣文物犯罪團夥，同時聯合文物部門專業人員初步甄別涉案文物類型、價值。

掌握涉案團夥犯罪證據後，專案組展開集中收網行動，抓獲全部涉案人員。目前，有關疑犯已被依法採取刑事強制措施，案件正在進一步偵辦。"
bkn-20260405020150545-0405_00822_001,蓋洛普民調顯示　全球對中國認可度超過美國,2026-04-05 02:01,2026-04-05 02:01,https://hk.on.cc/cnt/news/20260405/bkn-20260405020150545-0405_00822_001.html,蓋洛普民調顯示　全球對中國認可度超過美國,中國,oncc,2026-04-05 02:45,"美國民調機構蓋洛普公司上周五（3日）發布的一項全球民意調查結果顯示，2025年中國在全球認可度方面超過美國，對中國領導力的支持率中位數為36%，領先美國5個百分點。這是該民調機構近20年來記錄到中國在全球認可度上對美國領先幅度最大的一次。

報告稱，近期的變化反映出美國支持率下降，而中國支持率上升，美國領導階層的支持率中位數從2024年的39%下降到2025年的31%，回落至先前低點，而中國的支持率則從32%上升到36%。同時，民眾對美國領導層的不滿率上升至破紀錄的48%，而對中國的不滿率則維持在37%不變。

報告又指值得注意的是有關結果早於今年年初發生的多項重大事件，包括美國在1月退出66個國際組織，以及2月底爆發美以伊戰事。"
bkn-20260405015323300-0405_00822_001,滿東邨保安巡邏感應器及告示有燒焦痕跡　列縱火案跟進,2026-04-05 01:53,2026-04-05 03:56,https://hk.on.cc/cnt/news/20260405/bkn-20260405015323300-0405_00822_001.html,滿東邨保安巡邏感應器及告示有燒焦痕跡　列縱火案跟進,,oncc,2026-04-05 04:00,"東涌發生縱火案，現場在滿東邨滿順樓，今日(5日)凌晨1時許，保安員發現上址一梯間牆上、一張告示及一個電子保安巡邏感應器有被燒焦的痕迹。

消防員接報到場，經初步調查，相信起火原因有可疑，案件列作「縱火」，交執法部門跟進，暫未有人被捕。事件中，無人受傷，毋須疏散。"
bkn-20260405003600524-0405_00822_001,西九龍站26歲內地女藏鐵蓮花　涉管有違禁武器被捕,2026-04-05 00:36,2026-04-05 00:36,https://hk.on.cc/cnt/news/20260405/bkn-20260405003600524-0405_00822_001.html,西九龍站26歲內地女藏鐵蓮花　涉管有違禁武器被捕,香港,oncc,2026-04-05 01:30,昨日(4日)晚上9時許，香港西九龍站職員報案，指一名女子在上址進行安檢時被發現懷疑藏有鐵蓮花。警員接報到場，在該名姓唐(26歲)內地女子身上檢獲一個鐵蓮花。經初步調查，唐女涉嫌「管有違禁武器」被捕，現正被扣留調查。
bkn-20260405002519564-0405_00822_001,北大公路貨車撞工程車尾　無人受傷,2026-04-05 00:25,2026-04-05 00:25,https://hk.on.cc/cnt/news/20260405/bkn-20260405002519564-0405_00822_001.html,北大公路貨車撞工程車尾　無人受傷,香港,oncc,2026-04-05 01:15,北大嶼山公路發生交通意外。昨日(4日)晚上10時54分，一輛中型貨車沿公路往機場方后行駛，當駛至近往市中心入口前懷疑失控，撞向慢線一輛工程車車尾後再衝前停在工程車旁。據報意外中無人受傷。警員正調查意外起因。
