title,date,summary,scrape_time,section,source,url,news_content
特朗普稱拯救TikTok,2025-01-19 23:12,,2025-01-20 00:25,cinternational,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788225-20250119.htm,"短片分享平台TikTok在美國「不賣就禁」法令星期日生效前夕，停止在美國的服務。

美國候任總統特朗普在社交平台發文說，拯救TikTok。

特朗普較早前表示，很可能在當地星期一上任當日，給予TikTok公司90天寬限期，暫時避免在美國被禁。

另外，即將上任美國國家安全顧問的沃爾茨表示，特朗普需要時間來評估可能的交易，以允許TikTok留在美國市場。"
Universities test students on how to detect scams,2025-01-19 22:55,,2025-01-20 00:25,elocal,rthk,https://news.rthk.hk/rthk/en/component/k2/1788224-20250119.htm,"The University of Hong Kong and City University on Sunday asked students to complete anti-scam quizzes as soon as possible. The call came after dozens of students were reportedly scammed.

HKU's student news outlet Campus TV has reported that more than 60 students have been scammed in recent months, resulting in a monetary loss of HK$60 million.

The University of Hong Kong says it has sent a kit offered by the police to students to raise awareness of scams. 

The kit includes the latest information on how to identify scams and multiple-choice questions. 

At City University, the institution said it had received 30 scam reports from students, involving a total of HK$15 million. 

The university says it has requested all students to finish the anti-scam survey this semester."
哈馬斯釋放首批3名以色列女人質　據報3人情況良好,2025-01-19 22:54,,2025-01-20 00:25,cinternational,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788223-20250119.htm,"以色列與巴勒斯坦武裝組織哈馬斯的停火及交換被扣押人員協議生效，哈馬斯在當地星期日下午釋放首批3名被扣押在加沙的以色列女人質，轉交予紅十字會。巴勒斯坦傳媒報道，3人目前情況良好。

紅十字會派車前往加沙接走人質。根據首階段停火協議，以色列會釋放90名巴人作交換。以色列總理辦公室其後宣布，另有4名仍生還的女人質亦將會在7日內獲釋。

停火協議生效後，數以千計巴人湧到加沙城街頭慶祝。巴勒斯坦安全部門表示，多輛載有人道救援物資的車輛在經過以色列方面的檢查後進入加沙，會盡快分發物資給居民。"
保安局：農曆年凌晨跨境旅客數字偏低　審慎考慮後作合適通關安排,2025-01-19 22:38,,2025-01-20 00:24,local,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788222-20250119.htm,"全國人大常委李慧琼提出，在舉辦個別賀歲節目的日子，特區政府可考慮延長關口開放時間。

保安局回覆查詢時表示，一直留意各陸路口岸的通關需求，並考慮多重因素包括政策、人力資源調配、硬體配套設施完善等，並在落馬洲/皇崗口岸和港珠澳大橋口岸提供24小時旅客出入境清關服務的基礎上，視乎實際需要，適時與內地當局協商延長個別口岸的旅檢通關服務時間。

保安局指出，去年農曆新年期間，已延長羅湖口岸兩天及深圳灣口岸五天的通關服務時間，又指農曆新年期間凌晨的跨境旅客數字偏低。至於今年的農曆新年安排，特區政府會審慎考慮相關情況後，作出合適安排。"
港大：向學生發放學習套件加強防詐騙意識,2025-01-19 21:51,,2025-01-20 00:24,local,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788221-20250119.htm,"港大學生會校園電視表示，學校向學生發電郵指，近月有超過60名學生遭詐騙，累計損失逾港幣6千萬元。

港大發言人表示，港大學生發展及資源中心向學生發放由警方提供的防騙學習套件，內容包括騙案求助資訊；亦針對流行的4種騙案如電話騙案，以短片及選擇題灌輸防騙訊息，務求令尤其新到港的內地生了解相關資訊，希望他們盡快完成，加強防詐騙意識。

港大表示，學生如有需要，可向中心求助；校方一直舉辦多項活動，提升學生的防騙意識包括舉辦講座等。"
韓媒：尹錫悅正式被羈押在拘留所,2025-01-19 21:30,,2025-01-20 00:25,cinternational,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788220-20250119.htm,"南韓傳媒報道，被拘留的總統尹錫悅完成拍攝照片等相關手續後，已離開首爾拘留所疑犯休息室，被羈押在首爾拘留所收容大樓，成為南韓憲政史上首位以現任總統身份正式進入拘留所羈押的總統。

首爾西部地方法院星期日凌晨批准對尹錫悅的拘留令。報道說，羈押尹錫悅的獨居室面積約10平方米，比他在逮捕期間停留的休息室空間狹小，室內有床墊和電視等物品。

南韓「共同調查本部」表示，高級公職人員犯罪調查處已向首爾拘留所遞交文件，禁止尹錫悅會見除律師外的任何人。公調處相關人士說，這樣做是由於擔心證據會被毀滅。

按照南韓法律，拘留令申請獲批後，羈押期最長20天。"
港隊李卓耀印度羽毛球公開賽男單決賽得亞軍,2025-01-19 21:28,,2025-01-20 00:24,local,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788219-20250119.htm,"印度羽毛球公開賽男子單打決賽，港隊代表李卓耀不敵丹麥球手安賽龍得第二。

李卓耀在初段曾領先過6:2，但及後被對手追上，並以16:21先失首局。到第二局，李卓耀以較大比分8:21再失一局，連續兩年屈居賽事亞軍。"
尼日利亞油罐車爆炸逾80人死亡,2025-01-19 20:58,,2025-01-20 00:25,cinternational,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788217-20250119.htm,"尼日利亞中北部尼日爾州發生油罐車爆炸事故，導致超過80人死亡，多人受傷。

總統提努布發表聲明，對遇難人員表示深切哀悼，指示政府部門為傷者提供全面醫療救助，並要求安全和道路交通部門採取措施，避免類似事件發生。

事發在當地星期六，尼日爾州州長巴戈說，一輛油罐車在迪科地區的一條公路上突發翻側，附近居民搶奪燃料時，油罐車起火爆炸，造成重大傷亡。"
城大：去年接獲逾30宗學生遇詐騙個案　涉款約1500萬元,2025-01-19 19:48,,2025-01-20 00:24,local,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788216-20250119.htm,"城大表示，去年接獲逾30宗學生遇詐騙個案，涉款約港幣1500萬元。

城大表示，在今年新學期，已要求所有學生必須完成防騙問卷，該問卷由大學與警方攜手設計。城大又指，已成立跨部門工作小組，不時透過多種渠道、包括發送電郵、在校內張貼海報、派傳單等，提醒學生小心詐騙訊息。工作小組亦計劃在校內舉辦防騙研討會及推廣工作等。

城大說，非常樂意與執法部門進一步合作，打擊電信詐騙。"
「綠在區區」已接手廢膠回收服務　環保署稱回收站運作大致暢順,2025-01-19 19:46,,2025-01-20 00:24,local,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788215-20250119.htm,"環保署表示，「塑膠可回收物料回收服務先導計劃」昨日完結，全港十八區的廢塑膠收集服務已由「綠在區區」營運團體接手處理。

署方說，昨日及今日在各區巡視，市民及屋苑的回收情況如常，各個「綠在區區」回收站運作大致暢順，署方並無收到任何相關屋苑對於廢塑膠收集服務的投訴，亦無發現任何關於個別種類的廢塑膠無收集或堆積無人處理的情況。

署方又說，「綠在區區」接手廢塑膠收集服務，可以自由將收集到的塑膠，交予任何由署方核准的回收商處理，現時已擴展至有10間下游回收商可以處理。署方說，正加快相關審批工作，會陸續將合資格的下游回收商加入名單，進一步開放市場競爭，減低處理廢塑膠的收集及回收成本。
　　
署方重申，會致力令先導計劃結束後，以往向屋苑提供的所有塑膠回收服務不會受到影響，並會繼續監察情況。"
以色列與哈馬斯停火協議生效　料有3名被扣押人員今晚獲釋,2025-01-19 19:42,,2025-01-20 00:25,cinternational,rthk,https://news.rthk.hk/rthk/ch/component/k2/1788214-20250119.htm,"以色列與巴勒斯坦武裝組織哈馬斯的停火及交換被扣押人員協議生效，但較原定時間推遲接近3個小時，原因是哈馬斯以技術問題為由，未能按時提交當日獲釋的3名被扣押人員名單。

以色列總理辦公室發表聲明說，已收到哈馬斯提供應該在當日獲釋的3名被扣押人員名單，以色列安全機構正在核實細節，被扣押人員家屬已得到通知。辦公室其後又表示，預計被扣押人員將於當地星期日下午4時，即香港時間晚上10時獲釋。

哈馬斯下屬武裝組織卡桑旅發言人表示，當日會釋放的3名以色列在押人員都是女性，分別是24歲的羅米·朱寧、28歲的埃米莉·達馬里和31歲的多龍·施坦巴爾·海爾。"
