title,date,url,description,source,section,scrape_time
雲浩影新碟索照 紅色紗裙若隱若現極挑逗 銀白貼身長裙大尺度扭動蛇腰體態撩人,2025-01-20 20:15:18,https://std.stheadline.com/realtime/article/2048256/即時-娛樂-雲浩影新碟索照-紅色紗裙若隱若現極挑逗-銀白貼身長裙大尺度扭動蛇腰體態撩人,"雲浩影（Cloud）今日推出第3張個人專輯《TOUCH OF ABSENCE》，以自我成長為題，與Cloud之前兩張專輯互相呼應，描述傷痛過後、沉澱自我再重新出發的過程。

雲浩影散發另一種性感美？

為拍攝新碟靚相，團隊為Cloud準備了不少造型，當中最搶眼的是紅色上衣配襯透視珠片裙，以及高貴的白色貼身長裙，兩套衫均有若隱若現的感覺，Cloud︰「為了拍照，都有做Gym、打網球同食少啲Carbs（碳水化合物）。呢啲衫都係我平時比較少着嘅類型，我好少着紅色，為咗迎合主題就試咗好多唔同顏色，表現到雲唔同嘅面貌同狀態。」",singtao,entertainment,2025-01-20 20:22
創科產業引導基金邀交意向書 180位海內外公司代表出席簡介會,2025-01-20 20:00:48,https://std.stheadline.com/realtime/article/2048237/即時-港聞-創科產業引導基金邀交意向書-180位海內外公司代表出席簡介會,,singtao,local,2025-01-20 20:21
62歲「咆哮帝」馬景濤變購物狂滿載而歸 被大批粉絲捕獲合照態度反常,2025-01-20 20:00:30,https://std.stheadline.com/realtime/article/2048238/即時-娛樂-62歲-咆哮帝-馬景濤變購物狂滿載而歸-被大批粉絲捕獲合照態度反常,"人稱「咆哮帝」的62歲馬景濤，於90年代拍攝瓊瑤劇集《青青河邊草》、《梅花烙》等紅遍中港台，其後更來港發展並拍攝《再見艷陽天》、《天長地久》等亞視經典劇。近年馬景濤主力在內地發展，不時拍片與網民分享日常生活。日前，馬景濤就在小紅書上發佈了一段於北京趕市集的影片，當中他「掃街」購買了不少年貨及水果，途中更被大批粉絲捕獲要求合照，馬景濤亦一一配合對方留影，親切友善的態度絲毫不見昔日「咆哮帝」的火氣。

馬景濤北京趕市集變購物狂滿載而歸

最近，馬景濤在小紅書上發佈了一段於北京趕市集的影片，並留言：「過年怎麼能不趕大集呢？一起來和小馬哥感受濃濃的年味~」影片中可以看到馬景濤頭戴黑色Cap帽，身穿黑色",singtao,entertainment,2025-01-20 20:22
醫療失誤｜陰莖勃起30小時痛爆兼捱2次手術 西班牙男獲賠39萬,2025-01-20 19:46:37,https://std.stheadline.com/realtime/article/2048255/即時-國際-醫療失誤-陰莖勃起30小時痛爆兼捱2次手術-西班牙男獲賠39萬,,singtao,international,2025-01-20 20:21
爭產案︱李怡二婚妻淚灑記者會 大反擊否認侵吞遺產 ,2025-01-20 19:45:50,https://std.stheadline.com/realtime/article/2048254/即時-中國-爭產案︱李怡二婚妻淚灑記者會-大反擊否認侵吞遺產,,singtao,greater_china,2025-01-20 20:21
破．地獄｜票房破1億5千8百萬港元 許冠文 衛詩雅父女檔興奮謝票 女方竟因一事秒變淚人？,2025-01-20 19:45:37,https://std.stheadline.com/realtime/article/2048252/即時-娛樂-破-地獄-票房破1億5千8百萬港元-許冠文-衛詩雅父女檔興奮謝票-女方竟因一事秒變淚人,"英皇電影《破．地獄》上映踏入第11個星期，最新港澳累積票房數字突破1億5千8百萬港元。而昨日（19/1）導演陳茂賢、許冠文（Michael）及衛詩雅（Michelle）現身大圍出席謝票場。

許冠文呼籲觀眾睇夠8次《破．地獄》？

Michael於謝票後受訪，語重心長祝願香港人及香港電影同樣向好，說：「我同好多香港人一樣，一生都希望進步同埋破紀錄，一生人曾經追求過幾次，係呢位天才洋溢嘅導演（陳茂賢）嘅作品又令我再感受到一次。不過今次未破得晒，仲有6,000萬元左右就可以破到香港所有電影嘅紀錄，嗰部係2億2千萬票房嘅《End Game》（《復仇者聯盟：終局之戰》），如果大家已經睇咗4次，唔爭在睇",singtao,entertainment,2025-01-20 20:22
黃仁勳大讚華為Mate XT三折疊屏手機　「不可思議」「難以置信」︱有片,2025-01-20 19:28:13,https://std.stheadline.com/realtime/article/2048248/即時-中國-黃仁勳大讚華為Mate-XT三折疊屏手機-不可思議-難以置信-︱有片,"美國英偉達創始人兼首席執行官黃仁勳昨日在北京出席了英偉達答謝迎春會，並在活動中與媒體進行了交流。他對記者的一部華為Mate XT三折疊屏手機很感興趣，稱其「不可思議（incredible）」和「難以置信（unbelievable）」。

據內地媒體表示，黃仁勳在和記者互動時，有記者遞給他一部華為的Mate XT三折疊屏手機。雖然這型號手機已發售相當長時間，黃仁勳似乎仍對其不太了解。當他將手機拿到手上時，對其設計和技術表示高度贊賞，稱其「不可思議（incredible）」和「難以置信（unbelievable）」。

相關新聞：中國觀察：皮褸經濟 科大校董會三代同堂",singtao,greater_china,2025-01-20 20:21
新蒲崗的士司機行駛時兩度瞓著 險象環生事主驚魂：執返條命,2025-01-20 19:20:49,https://std.stheadline.com/realtime/article/2048251/即時-港聞-新蒲崗的士司機行駛時兩度瞓著-險象環生事主驚魂-執返條命,"有市民今日（1月20日）搭的士期間，報稱司機行駛至新蒲崗附近時，竟然兩度睡着，險象環生。他事後在社交網站公開事件，形容自己「今日執返條命」，直言不希望此類情況再次發生，以免發生意外便太遲，事件引起網民熱烈討論。

的士司機駕駛時兩度睡着 去錯目的地反指乘客沒講清楚

事主Roni在Facebook發帖分享經歷，表示今日下午搭的士途至新蒲崗附近時，發現司機在快線上僅以30至40公里速度行駛。起初Roni還不為意，當的士轉入街口後，前方並無車輛，司機卻突然停車不前，「我望一望佢，嘩！X！司機瞓着咗」。",singtao,local,2025-01-20 20:21
Anson Lo、Jeremy夥韓國天后宣美香港開騷 練舞時偶像突探班 3人一見如故瘋狂趣怪自拍,2025-01-20 19:15:29,https://std.stheadline.com/realtime/article/2048245/即時-娛樂-Anson-Lo-Jeremy夥韓國天后宣美香港開騷-練舞時偶像突探班-3人一見如故瘋狂趣怪自拍,"Anson Lo（盧瀚霆）、Jeremy（李駿傑）將聯乘韓國天后宣美（SUNMI）於2025年2月13日及2月16日，於亞洲國際博覽館Arena舉行《Katch the Pop SUNMI x ANSON LO x JEREMY》音樂會。

宣美突擊AL、Jeremy練舞練成點？

早前AL、Jeremy前往韓國習訓，與當地跳舞導師排舞，令到舞技大為提升，更驚喜的是宣美突然到訪探班，令到AL、Jeremy興奮不已，用韓文、英文向偶像打招呼。宣美亦表現雀躍，即場哼《Hey Hey OK！》和《TOXIC！》歌詞，AL而向偶像表達心聲，表示︰「你的表演永遠很精彩，由Wonder Girls年代到現",singtao,entertainment,2025-01-20 20:22
李家超晤最高院副院長茅仲華 就兩地法律工作交換意見,2025-01-20 19:14:47,https://std.stheadline.com/realtime/article/2048250/即時-港聞-李家超晤最高院副院長茅仲華-就兩地法律工作交換意見,"行政長官李家超今日（20日）與最高人民法院副院長茅仲華會面，就兩地法律工作和人員交流的議題交換意見。律政司司長林定國和律政司副司長張國鈞亦有出席會面。

李家超歡迎茅仲華率代表團訪港，出席2025年法律年度開啟典禮。他感謝最高人民法院一直以來積極支持律政司的工作，包括建立覆蓋面廣泛、高效便民的兩地民商事司法協助機制、積極推動粵港澳大灣區法治建設，以及支持香港建設成為亞太區國際法律及解決爭議服務中心。


      
      
              



      
            
      
    
        
    
  


李家超表示，特區政府會積極",singtao,local,2025-01-20 20:21
